Time,Iteration,Deflection,Total Weight,Bar Number
0.594986,0,0.000148649,2129.62,326574
0.600006,1,0.000268241,2064.53,316777
0.605026,2,0.000287984,2000.47,307274
0.610046,3,0.000278625,1938.92,298056
0.615066,4,0.000378915,1879.42,289115
0.620086,5,0.000586079,1821.68,280442
0.625106,6,0.000374006,1765.84,272029
